Ticker
F
BBD
ITUB
PBR
UAL
VALE
MRO
OXY
GM
UMC
ET
SLB
HST
CVE
KGC
PBR-A
LYG
BKR
MPC
CVS
FTI
AIG
VLO
MGM
BK
SYF
NUE
PAA
AU
MET
FLEX
TS
STLA
CNQ
PSX
SAN
COF
STM
MMM
UNM
ALLY
DFS
OVV
ACGL
CF
BBVA
BSBR
CNC
HIG
DG
ARCC
BBY
LNG
STLD
ALL
APTV
GDDY
BG
TRV
BF-B
EC
FOX
L
PBA
CHTR
TRP
FSLR
PPC
HMC
THC
UHS
LBRDK
E
SNA
DVA
WBS
NMR
ULTA
CQP
WES
UTHR
TLK
PKX
SMCI
LBRDA
FCNCA
MKL
SHG
BCH
IX
KSPI
CNH
PR
EG
SOLV
